case_id,worker_index,nfp,n_base_coils,status,score,iota_min,iota_max,score_wall_s
326,2,8,3,ok,5.547573249680179,2.6137378215789795,2.7544140043116427,4.05782800167799
327,3,8,3,ok,13.914970117908041,1.696240484714508,1.7561805671299318,4.14726475905627
328,4,8,3,no_axis,0.11512100406637814,nan,nan,3.6324308970943093
329,5,8,3,no_surface,0.258473552703925,nan,nan,4.0349342450499535
330,0,8,3,ok,4.043511498747634,1.8697695378515027,2.07021164894104,4.131634909659624
331,1,8,3,ok,8.821641258750654,2.135425329208374,2.3366399517196292,4.1444067396223545
332,2,8,3,ok,5.025508442628528,2.174910008907318,2.307960584137844,4.054446268826723
333,3,8,3,no_surface,0.2690614096226681,nan,nan,4.000956228934228
334,4,8,3,ok,22.388508175224107,1.6777674056767067,1.7475110590457916,4.081310930196196
335,5,8,3,no_surface,0.25874157293530964,nan,nan,4.035210148897022
336,0,8,3,no_surface,0.2578112993795829,nan,nan,4.0533900372684
337,1,8,3,no_surface,0.27023464770655603,nan,nan,3.998169530183077
